Comment,Designator,Footprint,LCSC
BPW41N,"D6_Front1,D6_Left1,D6_Right1",DIO_BPW41N,C142586
C2150,"Q1,Q2,Q3,Q4,Q5,Q6",SOT-23,C2150
20,"R3,R4,R6",R_0201_0603Metric,C22950
300k,"R10,R12,R8",R_0201_0603Metric,C23024
6.2k,"R1,R11,R2,R5,R7,R9",R_0201_0603Metric,C4260
OP07,"U1,U2,U3",SOIC-8_3.9x4.9mm_P1.27mm,C7433
TSAL4400,"D1_Front1,D2_Right1,D3_Left1",LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm_IRBlack,C94135
